,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration
23046,252.0,366.0,175.0,192630.0,125.0
23080,253.0,481.0,272.0,192913.0,118.0
23109,254.0,612.0,244.0,193154.0,111.0
23322,255.0,523.0,325.0,194931.0,176.0
23377,256.0,435.0,336.0,195387.0,166.0
23437,257.0,405.0,327.0,195887.0,141.0
23961,258.0,339.0,429.0,200253.0,133.0
24079,259.0,421.0,494.0,201236.0,200.0
24134,260.0,458.0,541.0,201694.0,117.0
24150,261.0,419.0,548.0,201828.0,174.0
24231,262.0,402.0,556.0,202502.0,110.0
24264,263.0,424.0,547.0,202779.0,107.0
24337,264.0,343.0,576.0,203391.0,139.0
24357,265.0,458.0,600.0,203552.0,134.0
24375,266.0,450.0,591.0,203702.0,152.0
24441,267.0,410.0,538.0,204254.0,208.0
24573,268.0,461.0,453.0,205359.0,143.0
24645,269.0,359.0,443.0,205952.0,114.0
24669,270.0,428.0,478.0,206152.0,134.0
24907,271.0,348.0,457.0,208135.0,225.0
24984,272.0,549.0,506.0,208777.0,133.0
25279,273.0,364.0,544.0,211236.0,100.0
25326,274.0,426.0,537.0,211627.0,275.0
25361,275.0,408.0,580.0,211918.0,168.0
25386,276.0,419.0,476.0,212129.0,157.0
25407,277.0,365.0,490.0,212302.0,134.0
25530,278.0,386.0,520.0,213327.0,133.0
25575,279.0,520.0,509.0,213701.0,251.0
25629,280.0,333.0,532.0,214151.0,584.0
25701,281.0,317.0,513.0,214751.0,153.0
25725,282.0,435.0,458.0,214951.0,135.0
26032,283.0,490.0,522.0,217509.0,142.0
26059,284.0,342.0,513.0,217734.0,192.0
26121,285.0,296.0,481.0,218251.0,159.0
26163,286.0,369.0,471.0,218601.0,134.0
26185,287.0,486.0,496.0,218784.0,150.0
26206,288.0,336.0,483.0,218961.0,273.0
26280,289.0,537.0,496.0,219576.0,233.0
26310,290.0,508.0,489.0,219826.0,150.0
26342,291.0,360.0,345.0,220092.0,186.0
26388,292.0,440.0,404.0,220480.0,202.0
26413,293.0,454.0,466.0,220696.0,121.0
26439,294.0,403.0,356.0,220901.0,100.0
26479,295.0,487.0,158.0,221235.0,249.0
27208,296.0,429.0,494.0,227310.0,182.0
