Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration
32,122075,195.63301282051282,125.52699159095081,183980.000530184,294.83974443939746,290.1583551188467,53173.770263296996,85.21437542195031,65.02305818168517,50693.721652726,81.23993854603526,59.08994327756196,624,384,0.6153846153846154,75,15836,211.1467,947,0.120192,0.207612,8,1392,174.0,383,0.012821,0.018249,35,7667,219.0571,528,0.05609,0.100515,46,8397,182.5435,492,0.073718,0.110086,2,274,137.0,157,0.003205,0.003592,31,4973,160.4194,396,0.049679,0.065197,2,259,129.5,150,0.003205,0.003396,185,37479,202.5892,942,0.296474,0.491354
33,6614,169.5897435897436,107.70371589854072,9372.212426674001,240.3131391454872,252.3007400835372,3977.963445606,101.99906270784615,47.335558354447265,3562.9340030729995,91.35728213007691,55.194728107427764,39,18,0.46153846153846156,1,107,107.0,107,0.025641,0.029772,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,150,150.0,150,0.025641,0.041736,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,16,3337,208.5625,728,0.410256,0.928492
34,437995,213.55192588980984,135.34699978635356,445593.33332353295,217.25662278085468,249.02822180035506,175326.479851857,85.48341289705364,67.05365182021461,194577.77156465,94.86970822264749,65.6305671164398,2051,1363,0.6645538761579717,382,82344,215.5602,1128,0.186251,0.276993,13,2221,170.8462,309,0.006338,0.007471,117,29727,254.0769,986,0.057045,0.099997,26,5753,221.2692,456,0.012677,0.019352,170,43101,253.5353,1632,0.082886,0.144986,39,6241,160.0256,333,0.019015,0.020994,31,5761,185.8387,458,0.015115,0.019379,585,122130,208.7692,1136,0.285227,0.410828
35,251780,201.10223642172525,132.00031766590297,274322.58932222903,219.1074994586494,256.8771807995785,104887.117246182,83.77565275254153,66.16038239742461,109227.696143193,87.24256880446725,62.67336118299585,1252,894,0.7140575079872205,305,62401,204.5934,994,0.24361,0.350095,6,1252,208.6667,389,0.004792,0.007024,74,20435,276.1486,924,0.059105,0.114649,49,9776,199.5102,596,0.039137,0.054847,56,9545,170.4464,473,0.044728,0.053551,28,4678,167.0714,765,0.022364,0.026246,12,1590,132.5,192,0.009585,0.008921,364,68563,188.3599,1340,0.290735,0.384667
36,176382,202.04123711340208,132.5490064966103,211952.38200016101,242.7862336771604,275.9426783995686,75659.560826837,86.66616360462429,59.02152913240753,76186.91233642,87.27023177138604,59.20348491115282,873,599,0.6861397479954181,44,7284,165.5455,692,0.050401,0.058201,3,468,156.0,235,0.003436,0.003739,72,15013,208.5139,592,0.082474,0.119957,37,6474,174.973,397,0.042383,0.051729,17,3200,188.2353,433,0.019473,0.025569,17,3452,203.0588,622,0.019473,0.027582,4,800,200.0,358,0.004582,0.006392,405,88462,218.4247,985,0.463918,0.706831
50,125578,189.98184568835097,117.56417836040862,137835.475723259,208.52568188087596,239.00148166150393,57090.987411063004,86.37063148421029,66.47095154458715,54423.822135462004,82.33558568148564,60.72175200201131,661,313,0.4735249621785174,78,12235,156.859,417,0.118003,0.201316,32,8726,272.6875,1073,0.048411,0.143579,94,18924,201.3191,810,0.142209,0.311378,7,1637,233.8571,701,0.01059,0.026935,0,0,0,0,0.0,0.0,1,108,108.0,108,0.001513,0.001777,3,559,186.3333,284,0.004539,0.009198,98,18586,189.6531,720,0.14826,0.305817
51,41206,220.35294117647058,165.0949662499978,41794.851824362,223.50188141370052,221.6388734772865,17267.055918173002,92.33719742338504,63.66434061366251,16884.563933996,90.29178574329411,62.36251907094993,187,123,0.6577540106951871,29,5946,205.0345,1041,0.15508,0.220975,5,1492,298.4,467,0.026738,0.055448,8,2114,264.25,550,0.042781,0.078564,12,3230,269.1667,867,0.064171,0.120039,8,1273,159.125,366,0.042781,0.047309,6,1444,240.6667,342,0.032086,0.053664,0,0,0,0,0.0,0.0,55,11409,207.4364,932,0.294118,0.424
52,298230,221.56760772659732,171.22895463487137,303507.37161464,225.48838901533432,250.20833360451394,122143.664676481,90.74566469277934,59.95701758498928,113141.100268721,84.05728103173922,58.57862462536475,1346,983,0.7303120356612184,96,18247,190.0729,1005,0.071322,0.081137,2,259,129.5,132,0.001486,0.001152,98,21068,214.9796,507,0.072808,0.093681,20,5752,287.6,1253,0.014859,0.025577,115,36850,320.4348,1195,0.085438,0.163856,18,2863,159.0556,301,0.013373,0.012731,4,673,168.25,200,0.002972,0.002993,630,139180,220.9206,1422,0.468053,0.618875
7,88289,183.93541666666667,116.63241865470187,147762.256071775,307.83803348286455,320.56133134404973,42487.844541987,88.51634279580624,57.59663423846864,38095.271903158005,79.36514979824584,57.97248913337328,480,305,0.6354166666666666,10,1445,144.5,228,0.020833,0.024594,0,0,0,0,0.0,0.0,24,4646,193.5833,511,0.05,0.079077,25,4936,197.44,509,0.052083,0.084013,63,13934,221.1746,894,0.13125,0.237162,21,4402,209.619,573,0.04375,0.074924,2,360,180.0,250,0.004167,0.006127,160,29030,181.4375,1039,0.333333,0.494102
8,311822,178.8995983935743,102.45376272163092,388508.3642795714,222.8963650485206,248.569277837576,145585.73392857268,83.52595176624938,68.0961011871853,161099.8567927443,92.42676809681257,64.4106326631255,1743,1025,0.5880665519219737,401,77263,192.6758,946,0.230063,0.426872,37,6152,166.2703,325,0.021228,0.033989,91,16270,178.7912,1027,0.052209,0.08989,54,8686,160.8519,612,0.030981,0.047989,68,11540,169.7059,492,0.039013,0.063758,20,2971,148.55,383,0.011474,0.016415,17,2791,164.1765,309,0.009753,0.01542,337,55325,164.1691,807,0.193345,0.305666
