ParticipantID,Task,NumFixations,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration,NoAOI_AOI_NumberOfFixations,NoAOI_AOI_FixationDurationSum,NoAOI_AOI_FixationDurationMean,NoAOI_AOI_LongestFixationInAOI,NoAOI_AOI_ProportionOfTotalFixations,NoAOI_AOI_ProportionOFTotalFixationDuration
36,DH7,107,21095,197.1495327,0,18116.99954,169.3177527,0,9809.275951,91.67547618,0,11298.91483,105.5973349,0,5,844,0,225,0.046728972,0.040009481,1,168,0,168,0.009345794,0.007963973,2,559,0,391,0.018691589,0.02649917,3,504,0,179,0.028037383,0.023891918,3,478,0,181,0.028037383,0.022659398,2,275,0,168,0.018691589,0.013036265,1,168,0,168,0.009345794,0.007963973,67,12900,0,532,0.626168224,0.611519317,31,6543,0,912,0.289719626,0.310168286
36,DH5,143,30386,212.4895105,0,25368.36077,177.4011242,0,12732.92221,89.04141409,0,10912.01774,76.30781634,0,11,2266,0,608,0.076923077,0.074573817,1,141,0,141,0.006993007,0.004640295,5,776,0,203,0.034965035,0.025538077,4,537,0,173,0.027972028,0.017672612,2,341,0,200,0.013986014,0.011222273,2,257,0,141,0.013986014,0.008457842,2,307,0,166,0.013986014,0.010103337,89,20622,0,911,0.622377622,0.678667808,35,6267,0,449,0.244755245,0.206246298
36,CH2,115,26396,229.5304348,0,26021.82732,226.2767593,0,8873.740131,77.16295766,0,10947.38622,95.19466274,0,13,2706,0,692,0.113043478,0.102515533,1,155,0,155,0.008695652,0.005872102,24,6596,0,1029,0.208695652,0.249886346,7,1217,0,237,0.060869565,0.046105471,1,155,0,155,0.008695652,0.005872102,3,440,0,155,0.026086957,0.016669192,4,915,0,358,0.034782609,0.034664343,45,11220,0,651,0.391304348,0.425064404,25,4232,0,274,0.217391304,0.160327322
36,CH8,157,33444,213.0191083,0,28841.57347,183.7042896,0,13940.64548,88.79392024,0,13388.4482,85.27674013,0,4,557,0,192,0.025477707,0.016654706,1,106,0,106,0.006369427,0.003169477,15,3117,0,532,0.095541401,0.093200574,9,2301,0,620,0.057324841,0.068801579,1,106,0,106,0.006369427,0.003169477,1,106,0,106,0.006369427,0.003169477,5,593,0,172,0.031847134,0.017731133,100,23246,0,858,0.636942675,0.69507236,29,4160,0,333,0.184713376,0.124387035
36,CL5,17,2756,162.1176471,0,6657.352574,391.608975,0,1940.933167,114.1725393,0,1574.91535,92.64207942,0,1,149,0,149,0.058823529,0.054063861,1,149,0,149,0.058823529,0.054063861,2,280,0,149,0.117647059,0.101596517,4,867,0,359,0.235294118,0.314586357,1,149,0,149,0.058823529,0.054063861,1,149,0,149,0.058823529,0.054063861,1,149,0,149,0.058823529,0.054063861,9,1363,0,207,0.529411765,0.494557329,5,693,0,192,0.294117647,0.251451379
36,CL9,36,7207,200.1944444,0,7507.547485,208.5429857,0,3469.423545,96.37287626,0,3173.447971,88.15133252,0,2,567,0,359,0.055555556,0.078673512,1,359,0,359,0.027777778,0.049812682,3,567,0,359,0.083333333,0.078673512,1,359,0,359,0.027777778,0.049812682,2,476,0,359,0.055555556,0.066046899,1,359,0,359,0.027777778,0.049812682,1,359,0,359,0.027777778,0.049812682,26,5581,0,610,0.722222222,0.774386014,7,1452,0,359,0.194444444,0.201470792
36,DL4,52,8978,172.6538462,0,16141.9062,310.421273,0,4814.429933,92.58519103,0,4125.336899,79.3334019,0,4,437,0,114,0.076923077,0.048674538,1,114,0,114,0.019230769,0.012697706,2,334,0,220,0.038461538,0.037202049,3,447,0,200,0.057692308,0.049788372,3,346,0,117,0.057692308,0.03853865,1,114,0,114,0.019230769,0.012697706,1,114,0,114,0.019230769,0.012697706,29,5608,0,559,0.557692308,0.624638004,16,2376,0,308,0.307692308,0.264646915
36,CL6,41,7555,184.2682927,0,9431.064615,230.0259662,0,3513.131784,85.68614107,0,3635.932872,88.68128956,0,4,694,0,234,0.097560976,0.091859696,1,209,0,209,0.024390244,0.027663799,3,550,0,216,0.073170732,0.072799471,8,1377,0,300,0.195121951,0.182263402,2,347,0,209,0.048780488,0.045929848,2,375,0,209,0.048780488,0.049636003,1,209,0,209,0.024390244,0.027663799,15,3220,0,823,0.365853659,0.426207809,13,2246,0,259,0.317073171,0.297286565
36,CL4,62,10231,165.016129,0,13128.99511,211.7579856,0,5695.25459,91.858945,0,5331.481619,85.99163901,0,2,249,0,125,0.032258065,0.024337797,2,290,0,166,0.032258065,0.028345225,1,124,0,124,0.016129032,0.012120027,20,3461,0,546,0.322580645,0.338285603,1,124,0,124,0.016129032,0.012120027,1,124,0,124,0.016129032,0.012120027,2,281,0,157,0.032258065,0.027465546,28,4423,0,271,0.451612903,0.432313557,13,2147,0,269,0.209677419,0.209852409
36,CL10,34,7555,222.2058824,0,8873.193286,260.9762731,0,3119.062189,91.73712322,0,2754.678647,81.01996019,0,2,700,0,562,0.058823529,0.092653872,1,138,0,138,0.029411765,0.018266049,1,138,0,138,0.029411765,0.018266049,1,138,0,138,0.029411765,0.018266049,2,238,0,138,0.058823529,0.031502316,1,138,0,138,0.029411765,0.018266049,1,138,0,138,0.029411765,0.018266049,14,3380,0,779,0.411764706,0.447385837,19,3651,0,672,0.558823529,0.483256122
