Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration,HIGH-3/MEDIUM-2/LOW-1,HIGH-1/LOW-0
21,1012157,213.62536935415787,140.73357827080022,1028346.227411224,217.04225990106042,239.4359085954622,411959.24356129795,86.94791970479065,65.63369022215274,399577.014845727,84.33453247060511,61.77388783155535,3561,2439,0.6849199663016007,182,35190,193.3516,1188,0.051108999999999995,0.06476799999999999,62,12760,205.8065,953,0.017411000000000003,0.023485,140,29234,208.8143,975,0.039314999999999996,0.05380599999999999,242,56434,233.1983,1092,0.067958,0.103868,276,71950,260.6884,1379,0.07750599999999999,0.132425,97,18945,195.3093,591,0.027239999999999997,0.034869,10,1876,187.6,258,0.0028079999999999997,0.003453,1430,316937,221.6343,1165,0.401573,0.583328,2.0,1.0
22,1226042,233.22084839261936,149.82291461877952,1062226.9201740029,202.05952447669839,231.41571425718013,434512.962649679,82.65416828032699,65.95443569127275,478139.41498228296,90.95290374401426,61.95312334959507,3713,2390,0.6436843522757878,540,121138,224.3296,1030,0.14543499999999998,0.211955,34,7138,209.9412,603,0.009156999999999998,0.012489,223,53024,237.7758,1085,0.060059,0.092776,144,39355,273.2986,1100,0.038783,0.068859,260,79535,305.9038,1535,0.070024,0.13916199999999998,103,26502,257.301,1029,0.027739999999999997,0.04637,14,2899,207.0714,472,0.003771,0.005072,1072,241937,225.6875,1208,0.288715,0.42331599999999997,3.0,1.0
24,676698,180.35660980810238,117.14629440920778,921468.891192649,245.59405415582333,267.4912627337315,329004.29988004104,87.68771318764419,65.82882390768846,310965.2859511001,82.87987365434438,61.08851662393271,2846,1873,0.6581166549543218,422,74407,176.3199,1200,0.148278,0.225633,19,3637,191.4211,467,0.0066760000000000005,0.011029,210,35734,170.1619,978,0.073788,0.10835999999999998,161,25030,155.4658,995,0.056571,0.075901,135,29590,219.1852,1262,0.047435000000000005,0.089729,49,7375,150.5102,314,0.017217,0.022364,29,4189,144.4483,273,0.010190000000000001,0.012703,848,149808,176.6604,1166,0.297962,0.45428,1.0,0.0
25,951554,204.67928586792857,131.78661005001388,950934.760008651,204.54608733246957,230.6259104476226,365729.667679266,78.66845938465605,68.05691513953093,403008.89491392695,86.68722196470789,64.10723932651914,2767,2001,0.7231658836284784,582,113233,194.5584,1077,0.21033600000000002,0.298946,17,3730,219.4118,888,0.006144,0.009848,99,15170,153.2323,400,0.035779000000000005,0.04005,59,8635,146.3559,538,0.021322999999999998,0.022797,65,9713,149.4308,980,0.023490999999999998,0.025643,21,2784,132.5714,201,0.007589,0.00735,28,5103,182.25,709,0.010119,0.013472,1130,220406,195.0496,1060,0.408385,0.581893,1.0,0.0
26,1076029,213.58257244938468,140.47542234242727,990062.3903182759,196.51893416400875,234.16873846646226,417219.005954981,82.81441166236225,64.39265417290618,451429.532270474,89.60490914459587,61.49399783477157,3606,2319,0.6430948419301165,270,50152,185.7481,842,0.074875,0.100128,59,11900,201.6949,667,0.016362,0.023758,233,50727,217.7124,982,0.06461499999999999,0.101276,286,73712,257.7343,1035,0.079312,0.14716500000000002,181,41294,228.1436,1095,0.050194,0.08244299999999999,40,6301,157.525,241,0.011093,0.01258,7,1020,145.7143,258,0.001941,0.002036,1243,265773,213.8158,1542,0.34470300000000004,0.530613,2.0,0.0
27,1501062,261.8740404745289,196.6775370455341,1241445.373443811,216.58153758614984,226.72017609315827,490044.192773963,85.49270634577162,67.88682474124963,511471.06693751103,89.23082116844225,64.32910196321485,4281,3243,0.7575332866152769,650,144281,221.9708,1171,0.151834,0.1618,37,8038,217.2432,686,0.008643000000000001,0.009014,219,62991,287.6301,1709,0.051156,0.07064,307,88225,287.3779,1330,0.071712,0.098938,274,94323,344.2445,3616,0.06400399999999999,0.105776,92,18705,203.3152,892,0.021490000000000002,0.020975999999999998,18,4313,239.6111,473,0.0042049999999999995,0.004837,1646,470848,286.0559,2459,0.38449,0.5280199999999999,3.0,1.0
28,1565534,248.6553367217281,192.44288841817496,1294204.79358084,205.55984650267467,247.6418983455158,538162.343462912,85.47686522600254,67.20025412412797,499901.12737374,79.39979786749366,62.5481882863501,4923,3440,0.6987609181393459,19,3410,179.4737,873,0.0038590000000000005,0.0038740000000000003,21,3504,166.8571,350,0.004266,0.003981,74,16011,216.3649,1089,0.015031000000000001,0.018191,510,172969,339.1549,2210,0.103595,0.196522,377,114218,302.9655,1649,0.076579,0.129771,153,35089,229.3399,1192,0.031079000000000002,0.039867,57,13876,243.4386,1076,0.011578,0.015765,2229,521076,233.7712,2002,0.452773,0.592029,1.0,0.0
29,1050648,211.14308681672023,153.65667670464856,993701.9742152679,199.6989498021037,230.52457736980315,418982.966311365,84.2007568953708,63.32221041131922,463503.046278049,93.14771830346643,59.56772566590092,3539,2755,0.7784684939248375,415,73926,178.1349,1038,0.11726500000000001,0.122978,34,5505,161.9118,282,0.009607,0.009158,273,65086,238.4103,988,0.07714,0.10827200000000001,206,43797,212.6068,1160,0.058209000000000004,0.072857,97,22453,231.4742,1213,0.027408999999999996,0.037351,41,8994,219.3659,632,0.011585,0.014962,10,1285,128.5,253,0.002826,0.0021379999999999997,1679,380087,226.377,1787,0.47442799999999996,0.6322840000000001,2.0,1.0
30,557419,193.68276580959,125.99309138689995,679722.4226013118,236.1787430859319,250.75410462569238,241788.289241372,84.0126091874121,64.155606515934,247861.802067123,86.12293331032767,61.14763018588725,2045,1239,0.6058679706601467,22,3984,181.0909,986,0.010758,0.015586000000000001,56,9457,168.875,704,0.027384,0.036998,130,32413,249.3308,1151,0.06357,0.126806,75,14802,197.36,755,0.036675,0.057909,234,58461,249.8333,1290,0.114425,0.228712,76,14874,195.7105,968,0.037163999999999996,0.05819,10,2137,213.7,522,0.00489,0.00836,636,119482,187.8648,1334,0.311002,0.46743900000000005,3.0,1.0
31,713822,209.82422104644328,146.191239583892,751124.078576301,220.7889707749268,239.6377342657522,300885.48018404003,88.4437037578013,62.06805414337619,279940.81098325795,82.28712844892944,58.96172941069098,2558,1744,0.6817826426896012,8,2003,250.375,979,0.003127,0.005071,43,8068,187.6279,760,0.01681,0.020426,133,31375,235.9023,1330,0.051994000000000005,0.079432,203,52443,258.3399,1116,0.079359,0.13277,246,66205,269.126,1458,0.096169,0.16761199999999998,71,13548,190.8169,735,0.027756,0.0343,4,786,196.5,300,0.001564,0.00199,1036,220562,212.8977,1200,0.405004,0.558399,2.0,0.0
32,570495,199.6133659902029,136.46569592247312,747015.836005872,261.37712946321625,281.0908535385734,244996.52488449603,85.72306678953673,65.27516188329125,227904.85800045298,79.74277746691847,59.42656582681181,2230,1422,0.6376681614349776,219,43936,200.62099999999998,947,0.09820599999999999,0.156641,23,3710,161.3043,383,0.010314,0.013227000000000001,132,28615,216.7803,1075,0.059192999999999996,0.102019,194,39681,204.5412,1050,0.086996,0.141471,5,770,154.0,200,0.002242,0.002745,68,11096,163.1765,396,0.030493,0.039560000000000005,6,1161,193.5,504,0.002691,0.004139,775,151519,195.5084,1367,0.347534,0.540198,3.0,1.0
33,344700,188.87671232876716,136.1541012508654,443385.663670321,242.95104858647727,257.99143838822744,161131.954214671,88.29148176146357,63.16660898792797,148500.97083540802,81.37039497830575,58.670048669134424,1133,707,0.6240070609002648,12,1349,112.4167,140,0.010591,0.009748,10,1526,152.6,277,0.008826,0.011027,10,1328,132.8,216,0.008826,0.009595999999999999,49,8716,177.8776,372,0.043248,0.062981,34,6387,187.8529,987,0.030008999999999997,0.046152,18,2607,144.8333,258,0.015887000000000002,0.018838,2,377,188.5,216,0.0017649999999999999,0.002724,572,116101,202.9738,1600,0.504854,0.838935,1.0,0.0
34,1268069,222.78092059030217,150.27732917752294,1158458.515666228,203.52398377832537,232.1375940339616,480452.951809455,84.40845955893447,68.73762307478496,518222.2063809979,91.043957551124,65.83664958494586,4155,2939,0.7073405535499399,687,145947,212.44099999999997,1128,0.16534300000000002,0.22179400000000002,44,10929,248.3864,948,0.01059,0.016609,183,46781,255.6339,986,0.044043,0.071092,140,35419,252.9929,941,0.033694,0.053826,292,75011,256.887,1632,0.07027699999999999,0.11399300000000001,74,13196,178.3243,842,0.01781,0.020054,44,8448,192.0,946,0.01059,0.012837999999999999,1475,322300,218.5085,1341,0.35499400000000003,0.489795,2.0,0.0
35,865578,208.6232827187274,138.47934320130264,798121.458682933,192.36477673726998,230.0238886325177,348503.46333802,83.99697838949626,68.77764423615854,349371.087029221,84.20609472866256,64.99586800194487,2687,1951,0.7260885746185337,612,126540,206.7647,994,0.22776300000000002,0.315046,43,9418,219.0233,726,0.016003,0.023448,145,41126,283.6276,1341,0.053964,0.102391,119,25276,212.4034,948,0.044287,0.062929,136,25639,188.5221,1252,0.050614,0.063833,38,6134,161.4211,765,0.014141999999999998,0.015271999999999999,27,4840,179.2593,945,0.010048,0.01205,831,162683,195.7677,1340,0.309267,0.405031,3.0,1.0
