Current_task,FixationX,FixationY,SaccadeLength
pretask,403.0,356.0,121.24768039018313
pretask,487.0,158.0,215.08137994721903
pretask,429.0,494.0,340.96920682079195
pretask,540.0,441.0,123.00406497347964
pretask,328.0,434.0,212.11553455605272
pretask,303.0,481.0,53.23532661682466
pretask,382.0,597.0,140.34600101178515
pretask,409.0,591.0,27.65863337187866
pretask,547.0,575.0,138.92443989449805
pretask,510.0,579.0,37.21558813185679
pretask,687.0,595.0,177.72169254201918
pretask,303.0,596.0,384.00130208112574
pretask,511.0,648.0,214.40149253211834
pretask,424.0,681.0,93.04837451562494
pretask,487.0,588.0,112.32987136109433
pretask,645.0,580.0,158.2024020045208
pretask,604.0,565.0,43.657759905886145
pretask,573.0,535.0,43.139309220245984
pretask,788.0,524.0,215.2812114421507
pretask,645.0,554.0,146.11296999240005
pretask,572.0,547.0,73.33484846919642
pretask,302.0,523.0,271.0645679538364
pretask,282.0,557.0,39.44616584663204
pretask,316.0,603.0,57.201398584300364
pretask,638.0,595.0,322.0993635510632
pretask,739.0,587.0,101.31633629380802
pretask,397.0,619.0,343.49381362697056
pretask,493.0,640.0,98.2700361249552
pretask,650.0,648.0,157.20368952413298
pretask,579.0,561.0,112.29425630903836
pretask,360.0,530.0,221.18318200080222
pretask,501.0,532.0,141.01418368376991
pretask,413.0,526.0,88.20430828479978
pretask,321.0,534.0,92.34717104492157
pretask,500.0,573.0,183.19934497699495
pretask,471.0,601.0,40.311288741492746
pretask,417.0,487.0,126.14277624977183
pretask,341.0,527.0,85.88364221433555
pretask,393.0,648.0,131.70041761513136
pretask,430.0,560.0,95.46203433826454
pretask,519.0,602.0,98.41239759298622
pretask,414.0,616.0,105.92922165295089
pretask,574.0,614.0,160.0124995117569
pretask,450.0,604.0,124.4025723206719
pretask,478.0,503.0,104.80935072788114
pretask,419.0,353.0,161.1862276995153
pretask,594.0,375.0,176.3774361986249
pretask,318.0,375.0,276.0
pretask,302.0,371.0,16.492422502470642
pretask,356.0,373.0,54.037024344425184
pretask,374.0,381.0,19.697715603592208
pretask,540.0,416.0,169.64963896218583
pretask,434.0,356.0,121.8031198286809
pretask,946.0,371.0,512.2196794345176
pretask,613.0,475.0,348.8624370722649
pretask,530.0,341.0,157.62296786953354
pretask,598.0,351.0,68.73136110975832
pretask,514.0,358.0,84.29116205154607
pretask,453.0,448.0,108.72442227944924
pretask,812.0,350.0,372.1357279273249
pretask,506.0,339.0,306.1976485866604
pretask,440.0,462.0,139.5886814895821
pretask,381.0,366.0,112.6809655620682
pretask,419.0,437.0,80.52949770115296
pretask,378.0,585.0,153.57408635573907
pretask,390.0,614.0,31.38470965295043
pretask,382.0,593.0,22.47220505424423
pretask,387.0,588.0,7.0710678118654755
pretask,317.0,584.0,70.11419257183242
pretask,429.0,653.0,131.54847015454038
pretask,392.0,707.0,65.45991139621256
pretask,403.0,684.0,25.495097567963924
pretask,404.0,635.0,49.01020301937138
pretask,400.0,690.0,55.14526271584895
pretask,365.0,700.0,36.40054944640259
pretask,332.0,712.0,35.11409973215888
pretask,429.0,730.0,98.65596788841515
pretask,306.0,716.0,123.79418403139947
pretask,325.0,782.0,68.6804193347711
pretask,398.0,311.0,476.62354117269535
pretask,554.0,324.0,156.54072952429985
pretask,374.0,431.0,209.40152817016403
pretask,537.0,312.0,201.81674856165927
pretask,395.0,285.0,144.5441109142811
